nRun,angle,targetCellId,downloadCondition,downloadTime
1,-59.5059,-1,COMPLETED,34.5431
2,-43.5576,-1,UNCOMPLETED,100.0
3,-50.6608,-1,UNCOMPLETED,100.0
4,-12.9374,-1,COMPLETED,41.7761
5,-20.8164,-1,UNCOMPLETED,100.0
6,-34.1306,-1,COMPLETED,43.3441
7,28.7827,-1,UNCOMPLETED,100.0
8,29.8063,-1,UNCOMPLETED,100.0
9,-32.8272,-1,COMPLETED,47.325
10,-4.90765,-1,UNCOMPLETED,100.0
11,15.2707,-1,COMPLETED,39.701
12,-17.3718,-1,UNCOMPLETED,100.0
13,10.7748,-1,COMPLETED,39.286
14,-50.2596,-1,COMPLETED,29.896
15,-42.3237,-1,UNCOMPLETED,100.0
16,-6.22907,-1,COMPLETED,50.059
17,23.2071,-1,COMPLETED,38.231
18,-15.3347,-1,UNCOMPLETED,100.0
19,-28.5646,-1,COMPLETED,43.3361
20,14.8536,-1,UNCOMPLETED,100.0
21,22.3531,-1,UNCOMPLETED,100.0
22,16.5959,-1,UNCOMPLETED,100.0
24,-12.2786,-1,COMPLETED,26.424
25,-53.4657,-1,COMPLETED,41.5381
26,20.8991,-1,UNCOMPLETED,100.0
27,-40.6004,-1,COMPLETED,31.8431
29,-2.07493,-1,UNCOMPLETED,100.0
30,-37.7472,-1,COMPLETED,28.464
31,-7.40053,-1,UNCOMPLETED,100.0
34,15.5802,-1,UNCOMPLETED,100.0
35,-6.83889,-1,UNCOMPLETED,100.0
36,14.006,-1,UNCOMPLETED,100.0
37,-32.7851,-1,UNCOMPLETED,100.0
38,-51.886,-1,COMPLETED,41.036
39,18.105,-1,UNCOMPLETED,100.0
40,25.5826,-1,UNCOMPLETED,100.0
41,-40.987,-1,COMPLETED,36.392
42,29.3246,-1,COMPLETED,41.049
43,-10.4179,-1,COMPLETED,51.7061
45,-6.5522,-1,COMPLETED,36.398
46,-9.18911,-1,UNCOMPLETED,100.0
47,-47.8375,-1,COMPLETED,36.474
49,-0.217041,-1,UNCOMPLETED,100.0
50,-26.9985,-1,COMPLETED,36.421
51,-8.72248,-1,UNCOMPLETED,100.0
53,-36.8437,-1,COMPLETED,40.09
54,-0.353493,-1,UNCOMPLETED,100.0
55,17.834,-1,COMPLETED,44.5131
56,-47.1817,-1,COMPLETED,29.329
57,22.6116,-1,COMPLETED,36.785
59,-47.5577,-1,COMPLETED,34.2251
60,-32.9566,-1,COMPLETED,22.3631
61,29.0732,-1,COMPLETED,35.1791
62,-31.372,-1,UNCOMPLETED,100.0
64,-21.1584,-1,UNCOMPLETED,100.0
65,21.4765,-1,COMPLETED,38.563
66,28.6331,-1,UNCOMPLETED,100.0
67,-17.064,-1,COMPLETED,22.3671
68,22.1874,-1,UNCOMPLETED,100.0
70,-42.2467,-1,COMPLETED,44.1171
71,6.21331,-1,COMPLETED,40.514
72,-3.47833,-1,UNCOMPLETED,100.0
74,-46.0763,-1,COMPLETED,28.596
75,-54.1275,-1,COMPLETED,39.299
76,-3.16576,-1,UNCOMPLETED,100.0
77,-14.87,-1,COMPLETED,31.3201
78,-4.5423,-1,COMPLETED,48.911
80,3.90102,-1,COMPLETED,39.061
82,-34.293,-1,COMPLETED,46.296
83,-41.0894,-1,COMPLETED,48.626
84,15.6418,-1,UNCOMPLETED,100.0
85,-38.3561,-1,COMPLETED,41.8701
86,11.6758,-1,COMPLETED,36.1811
87,-37.862,-1,UNCOMPLETED,100.0
89,-52.4637,-1,COMPLETED,34.2531
