nRun,angle,targetCellId,downloadCondition,downloadTime
3,-50.6608,2,UNCOMPLETED,100.0
4,-12.9374,2,COMPLETED,43.7151
5,-20.8164,2,COMPLETED,48.73
6,-34.1306,2,COMPLETED,41.9211
7,28.7827,2,UNCOMPLETED,100.0
8,29.8063,2,COMPLETED,39.565
9,-32.8272,2,COMPLETED,47.914
10,-4.90765,2,UNCOMPLETED,100.0
11,15.2707,2,COMPLETED,31.076
12,-17.3718,2,UNCOMPLETED,100.0
14,-50.2596,2,COMPLETED,28.558
15,-42.3237,2,UNCOMPLETED,100.0
16,-6.22907,2,COMPLETED,50.308
17,23.2071,2,COMPLETED,25.8341
18,-15.3347,2,UNCOMPLETED,100.0
19,-28.5646,2,COMPLETED,49.238
20,14.8536,2,UNCOMPLETED,100.0
21,22.3531,2,UNCOMPLETED,100.0
22,16.5959,2,UNCOMPLETED,100.0
24,-12.2786,2,COMPLETED,22.3301
25,-53.4657,2,COMPLETED,33.5321
26,20.8991,2,UNCOMPLETED,100.0
27,-40.6004,2,UNCOMPLETED,100.0
28,-28.0667,2,UNCOMPLETED,100.0
29,-2.07493,2,UNCOMPLETED,100.0
30,-37.7472,2,COMPLETED,31.6721
31,-7.40053,2,UNCOMPLETED,100.0
33,-42.9097,2,COMPLETED,35.7511
34,15.5802,2,COMPLETED,39.004
35,-6.83889,2,UNCOMPLETED,100.0
36,14.006,2,UNCOMPLETED,100.0
37,-32.7851,2,UNCOMPLETED,100.0
38,-51.886,2,UNCOMPLETED,100.0
39,18.105,2,UNCOMPLETED,100.0
40,25.5826,2,UNCOMPLETED,100.0
41,-40.987,2,COMPLETED,33.8641
42,29.3246,2,COMPLETED,36.891
43,-10.4179,2,UNCOMPLETED,100.0
44,-24.345,2,UNCOMPLETED,100.0
45,-6.5522,2,COMPLETED,28.502
46,-9.18911,2,COMPLETED,45.4481
48,-51.5817,2,COMPLETED,27.583
49,-0.217041,2,UNCOMPLETED,100.0
50,-26.9985,2,COMPLETED,33.4431
51,-8.72248,2,UNCOMPLETED,100.0
52,8.74868,2,UNCOMPLETED,100.0
53,-36.8437,2,COMPLETED,38.07
54,-0.353493,2,COMPLETED,35.6101
55,17.834,2,COMPLETED,44.0521
56,-47.1817,2,COMPLETED,31.5961
57,22.6116,2,COMPLETED,38.21
58,-16.2025,2,UNCOMPLETED,100.0
59,-47.5577,2,COMPLETED,33.4941
60,-32.9566,2,COMPLETED,22.3181
61,29.0732,2,COMPLETED,39.823
63,19.0308,2,COMPLETED,27.404
64,-21.1584,2,COMPLETED,46.702
65,21.4765,2,COMPLETED,43.9171
66,28.6331,2,UNCOMPLETED,100.0
67,-17.064,2,COMPLETED,40.656
68,22.1874,2,UNCOMPLETED,100.0
69,15.2108,2,COMPLETED,40.138
71,6.21331,2,COMPLETED,35.6001
72,-3.47833,2,UNCOMPLETED,100.0
73,7.79214,2,UNCOMPLETED,100.0
74,-46.0763,2,COMPLETED,31.5421
75,-54.1275,2,COMPLETED,39.98
76,-3.16576,2,UNCOMPLETED,100.0
77,-14.87,2,COMPLETED,41.9941
78,-4.5423,2,COMPLETED,53.7581
79,0.241462,2,UNCOMPLETED,100.0
80,3.90102,2,COMPLETED,40.22
81,25.0422,2,UNCOMPLETED,100.0
82,-34.293,2,COMPLETED,46.1561
84,15.6418,2,UNCOMPLETED,100.0
85,-38.3561,2,COMPLETED,39.357
86,11.6758,2,UNCOMPLETED,100.0
87,-37.862,2,COMPLETED,33.0781
88,7.49016,2,UNCOMPLETED,100.0
89,-52.4637,2,COMPLETED,33.0441
90,12.1925,2,UNCOMPLETED,100.0
91,11.1661,2,COMPLETED,39.882
92,-45.6473,2,COMPLETED,35.7111
93,19.4514,2,COMPLETED,23.9151
94,-47.189,2,UNCOMPLETED,100.0
95,3.88977,2,UNCOMPLETED,100.0
96,-6.85532,2,COMPLETED,36.898
97,-25.3486,2,COMPLETED,35.0701
98,13.7921,2,COMPLETED,38.323
99,-27.2303,2,COMPLETED,41.6371
100,27.2053,2,COMPLETED,41.5851
101,0.656393,2,COMPLETED,22.3241
102,-40.3908,2,COMPLETED,36.248
103,-28.0786,2,COMPLETED,43.8901
104,1.59455,2,COMPLETED,59.221
105,23.7994,2,COMPLETED,40.419
106,-30.05,2,UNCOMPLETED,100.0
107,-5.68756,2,UNCOMPLETED,100.0
108,29.3344,2,COMPLETED,29.845
109,-18.6464,2,COMPLETED,40.461
110,12.941,2,COMPLETED,35.1191
111,-10.7992,2,UNCOMPLETED,100.0
112,-32.7332,2,COMPLETED,41.084
113,14.7427,2,COMPLETED,39.59
114,-28.113,2,COMPLETED,33.0221
115,3.51697,2,UNCOMPLETED,100.0
116,-53.3512,2,UNCOMPLETED,100.0
117,-26.8054,2,COMPLETED,42.6101
118,-20.6077,2,UNCOMPLETED,100.0
120,28.1878,2,UNCOMPLETED,100.0
121,-35.5583,2,UNCOMPLETED,100.0
