nRun,angle,targetCellId,downloadCondition,downloadTime
1,-59.5059,3,COMPLETED,33.8601
3,-50.6608,3,UNCOMPLETED,100.0
5,-20.8164,3,COMPLETED,47.462
6,-34.1306,3,COMPLETED,38.906
8,29.8063,3,COMPLETED,38.192
9,-32.8272,3,COMPLETED,46.496
10,-4.90765,3,UNCOMPLETED,100.0
11,15.2707,3,COMPLETED,29.727
12,-17.3718,3,UNCOMPLETED,100.0
13,10.7748,3,COMPLETED,33.0701
14,-50.2596,3,COMPLETED,26.566
15,-42.3237,3,COMPLETED,30.503
16,-6.22907,3,COMPLETED,47.513
17,23.2071,3,COMPLETED,24.6261
18,-15.3347,3,UNCOMPLETED,100.0
20,14.8536,3,UNCOMPLETED,100.0
21,22.3531,3,UNCOMPLETED,100.0
22,16.5959,3,UNCOMPLETED,100.0
24,-12.2786,3,COMPLETED,22.3301
25,-53.4657,3,COMPLETED,31.4451
26,20.8991,3,UNCOMPLETED,100.0
27,-40.6004,3,COMPLETED,35.6041
28,-28.0667,3,UNCOMPLETED,100.0
29,-2.07493,3,COMPLETED,39.519
30,-37.7472,3,COMPLETED,30.936
31,-7.40053,3,UNCOMPLETED,100.0
32,-24.9582,3,UNCOMPLETED,100.0
34,15.5802,3,COMPLETED,36.7
35,-6.83889,3,UNCOMPLETED,100.0
36,14.006,3,UNCOMPLETED,100.0
37,-32.7851,3,UNCOMPLETED,100.0
38,-51.886,3,UNCOMPLETED,100.0
39,18.105,3,UNCOMPLETED,100.0
40,25.5826,3,UNCOMPLETED,100.0
42,29.3246,3,COMPLETED,35.8981
43,-10.4179,3,UNCOMPLETED,100.0
44,-24.345,3,UNCOMPLETED,100.0
45,-6.5522,3,COMPLETED,23.8711
46,-9.18911,3,COMPLETED,22.3321
48,-51.5817,3,COMPLETED,25.6291
49,-0.217041,3,UNCOMPLETED,100.0
50,-26.9985,3,COMPLETED,29.002
51,-8.72248,3,UNCOMPLETED,100.0
52,8.74868,3,UNCOMPLETED,100.0
53,-36.8437,3,COMPLETED,35.2741
54,-0.353493,3,COMPLETED,33.9321
55,17.834,3,COMPLETED,41.5761
56,-47.1817,3,COMPLETED,30.486
57,22.6116,3,COMPLETED,36.303
58,-16.2025,3,UNCOMPLETED,100.0
59,-47.5577,3,UNCOMPLETED,100.0
60,-32.9566,3,COMPLETED,22.3571
61,29.0732,3,COMPLETED,38.306
62,-31.372,3,UNCOMPLETED,100.0
63,19.0308,3,COMPLETED,25.9291
64,-21.1584,3,UNCOMPLETED,100.0
65,21.4765,3,COMPLETED,42.1781
66,28.6331,3,UNCOMPLETED,100.0
69,15.2108,3,COMPLETED,39.072
70,-42.2467,3,COMPLETED,42.9871
71,6.21331,3,COMPLETED,34.0081
72,-3.47833,3,COMPLETED,22.3301
73,7.79214,3,UNCOMPLETED,100.0
74,-46.0763,3,COMPLETED,30.398
75,-54.1275,3,COMPLETED,38.733
76,-3.16576,3,UNCOMPLETED,100.0
78,-4.5423,3,COMPLETED,52.1231
80,3.90102,3,COMPLETED,39.189
81,25.0422,3,UNCOMPLETED,100.0
82,-34.293,3,COMPLETED,46.208
83,-41.0894,3,COMPLETED,32.2601
85,-38.3561,3,COMPLETED,38.196
86,11.6758,3,UNCOMPLETED,100.0
87,-37.862,3,UNCOMPLETED,100.0
88,7.49016,3,UNCOMPLETED,100.0
89,-52.4637,3,COMPLETED,31.063
90,12.1925,3,UNCOMPLETED,100.0
91,11.1661,3,COMPLETED,38.553
92,-45.6473,3,COMPLETED,34.7171
93,19.4514,3,COMPLETED,22.3311
94,-47.189,3,UNCOMPLETED,100.0
95,3.88977,3,UNCOMPLETED,100.0
96,-6.85532,3,COMPLETED,35.1331
97,-25.3486,3,UNCOMPLETED,100.0
98,13.7921,3,COMPLETED,36.0271
101,0.656393,3,COMPLETED,22.3241
102,-40.3908,3,COMPLETED,35.0951
103,-28.0786,3,UNCOMPLETED,100.0
104,1.59455,3,COMPLETED,58.247
105,23.7994,3,COMPLETED,38.459
107,-5.68756,3,UNCOMPLETED,100.0
108,29.3344,3,COMPLETED,28.638
110,12.941,3,COMPLETED,33.6071
111,-10.7992,3,UNCOMPLETED,100.0
